日期DATE,时间TIME,呼号CALLSIGN,频率,模式MODE,Sent RST,Received RST,Sent PWR,Received PWR,     QTH     ,     设备RIG    ,天线ANT,Notes
2024/10/5,20:57,BA4QCS,430.61,FM,59,59,5W,25W,南京市方山,森海克斯8800,RH-770,
2024/8/6,23:30,BA4QMJ,438.5,FM,59,59,5W,17W,南京市紫金山,森海克斯8800,RH-770,
2024/8/6,23:25,BD4WTM,438.5,FM,59,59,5W,5W,南京市紫金山,森海克斯8800,RH-770,
2023/11/19,16:50,BG2EPO,439.8,FM,59,59,5W,5W,南京市新街口,森海克斯8800,RH-770,
2024/2/29,14:10,BG4TCR,430.61,FM,59,59,5W,5W,武汉市岳家嘴,森海克斯8800,RH-770,
2023/12/2,15:00,BG4WEQ,430.61,FM,59,59,5W,15W,南京,泉盛UV-K6,RH-770,
,,,,,,,,,,,,
